StartDate,Finished,DistributionChannel,Q1,110 Rules_111,110 Rules_112,110 Rules_113,110 Rules_114,110 Rules_115,110 Rules_116,110 Rules_117,Moral Source _13,Age,Gender,Race_Ethnicity_1,Race_Ethnicity_2,Race_Ethnicity_3,Race_Ethnicity_4,Race_Ethnicity_5,Race_Ethnicity_6,Race_Ethnicity_7,Race_Ethnicity_8,Race_Ethnicity_9,Race_Ethnicity_10,Race_Ethnicity_11,Race_Ethnicity_10_TEXT,Income,Education,SES,Political_overall,Religiosity,God,Faith_1,Faith_2,Faith_3,Faith_4,Faith_5,Faith_6,Faith_7,Faith_8,Faith_9,Faith_9_TEXT
Start Date,Finished,Distribution Channel,"You are invited to participate in a research study titled “Temporal Change in Moral Value and Social Norm.” You were selected to participate in this project because you are an adult over age 18. This study is sponsored by Boston College and the John Templeton Foundation.    The purpose of this study is to understand how we judge rules from various sources. This study will be conducted through this online survey. The survey should take you approximately 30 minutes to complete.    There are no direct benefits to you. However, you may feel gratified knowing that you helped further the scholarly work in this research area. You will be compensated approximately $5 for participating in this study. The exact  compensation amount will be determined by the average amount of time the survey takes across all participants, at a rate of $10/hour. There are no costs to you associated with your participation.  The Principal Investigator, Dr. Liane Young, and her research team at Boston College, will exert all reasonable efforts to keep your responses and your identity confidential. We may have access to, and may maintain in our data collection, your Prolific user ID. However, aside from your Prolific user ID, we will not maintain within our research data any information that uniquely identifies you, such as your name, location, or Internet Protocol (IP) address. In any report we publish, we will not include any information that will make it possible to identify a participant. Data that includes user-ID information will be collected and stored via the third-party server of Qualtrics. Data collected from the experiment will be coded to remove your name or any other personal identifiers. All records will be secured in a locked cabinet in our lab. The Institutional Review Board at Boston College and internal Boston College auditors may review the research records. State or federal laws or court orders may also require that information from research study records be released. Otherwise, the researchers will not release to others any information that could indicate your identity unless you give your permission, or unless the researchers become legally required to do so. Although the survey will not prompt you directly to identify yourself by name, email address or the like, the survey will include several demographic items that would prompt you to provide certain demographic information, such as your age, gender, ethnicity, education level and the like. In combination, responses to such questions could suggest your identity. Regardless, please know that the researchers will make no purposeful effort to discern your identity based on such information. Additionally, please note that you may opt to leave any such question blank.    Your participation is voluntary. If you choose not to participate it will not affect your relations with Boston College. Some questions on the survey, such as comprehension questions, may be required in order to complete the survey and receive compensation. However, you may still choose to end your participation in the study at any time. If you have questions or concerns concerning this research you may contact the Principal Investigator at 617-552-0240 or liane.young@bc.edu. If you have questions about your rights as a research participant, you may contact the Office for Research Protections, Boston College, at 617-552-4778 or irb@bc.edu.    If you agree to the statements above and agree to participate in this study, please press the “Consent Given” button below.","Below you will read 110 rules. For each rule, please answer the question: How morally relevant do you think this rule is in modern society? - Attention Check: Choose ""Not at all morally relevant"".","Below you will read 110 rules. For each rule, please answer the question: How morally relevant do you think this rule is in modern society? - Attention Check: Choose ""Slightly morally irrelevant"".","Below you will read 110 rules. For each rule, please answer the question: How morally relevant do you think this rule is in modern society? - Attention Check: Choose ""Slightly morally relevant"".","Below you will read 110 rules. For each rule, please answer the question: How morally relevant do you think this rule is in modern society? - Attention Check: Choose ""Moderately morally relevant"".","Below you will read 110 rules. For each rule, please answer the question: How morally relevant do you think this rule is in modern society? - Attention Check: Choose ""Moderately morally irrelevant"".","Below you will read 110 rules. For each rule, please answer the question: How morally relevant do you think this rule is in modern society? - Attention Check: Choose ""Neither morally relevant nor morally irrelevant"".","Below you will read 110 rules. For each rule, please answer the question: How morally relevant do you think this rule is in modern society? - Attention Check: Choose ""Extremely morally relevant"".",How much do you usually seek moral guidance from the below sources? - Chatbot/ AI assistant,What is your age (in years)?,With which gender do you identify? - Selected Choice,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - Black or African American,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - East Asian,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - Hispanic or Latina/o/x/e,"Please indicate how you identify yourself (Choose all that apply). - Selected Choice - Indigenous American, American Indian, or Alaska Native",Please indicate how you identify yourself (Choose all that apply). - Selected Choice - Middle Eastern or North African,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - Native Hawaiian or other Pacific Islander,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - South Asian,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - Southeast Asian,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - White,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - Other,Please indicate how you identify yourself (Choose all that apply). - Selected Choice - Prefer not to disclose,Please indicate how you identify yourself (Choose all that apply). - Other - Text,What is your household income per year?,"What is the highest level of education you have received? (If you’re currently enrolled in school, please indicate the highest degree you have received. )","Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who have the most money, most education, and most respected jobs. At the bottom are the people who have the least money, least education, and least respected jobs/ no job. The higher up you are on this ladder, the closer you are to the people at the very top. The lower you are, the closer you are to the people at the very bottom.          Please indicate below where you would place yourself on this ladder.","Politically, how liberal or conservative are you?",To what extent do you consider yourself to be religious?,Do you believe in God? - Selected Choice,Which of the following religious affiliations do you identify with? - Selected Choice - Agnostic,Which of the following religious affiliations do you identify with? - Selected Choice - Atheist,Which of the following religious affiliations do you identify with? - Selected Choice - Buddhist,Which of the following religious affiliations do you identify with? - Selected Choice - Christian,Which of the following religious affiliations do you identify with? - Selected Choice - Hindu,Which of the following religious affiliations do you identify with? - Selected Choice - Jewish,Which of the following religious affiliations do you identify with? - Selected Choice - Muslim,Which of the following religious affiliations do you identify with? - Selected Choice - Sikh,Which of the following religious affiliations do you identify with? - Selected Choice - Other,Which of the following religious affiliations do you identify with? - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""finished""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1320238730""}","{""ImportId"":""QID38_221""}","{""ImportId"":""QID38_222""}","{""ImportId"":""QID38_223""}","{""ImportId"":""QID38_224""}","{""ImportId"":""QID38_230""}","{""ImportId"":""QID38_225""}","{""ImportId"":""QID38_228""}","{""ImportId"":""QID41_10""}","{""ImportId"":""QID1320238763_TEXT""}","{""ImportId"":""QID1320238764""}","{""ImportId"":""QID1320238766"",""choiceId"":""1""}","{""ImportId"":""QID1320238766"",""choiceId"":""2""}","{""ImportId"":""QID1320238766"",""choiceId"":""3""}","{""ImportId"":""QID1320238766"",""choiceId"":""4""}","{""ImportId"":""QID1320238766"",""choiceId"":""5""}","{""ImportId"":""QID1320238766"",""choiceId"":""6""}","{""ImportId"":""QID1320238766"",""choiceId"":""7""}","{""ImportId"":""QID1320238766"",""choiceId"":""8""}","{""ImportId"":""QID1320238766"",""choiceId"":""9""}","{""ImportId"":""QID1320238766"",""choiceId"":""10""}","{""ImportId"":""QID1320238766"",""choiceId"":""11""}","{""ImportId"":""QID1320238766_7_TEXT""}","{""ImportId"":""QID1320238767""}","{""ImportId"":""QID1320238768""}","{""ImportId"":""QID1320238770""}","{""ImportId"":""QID1320238772""}","{""ImportId"":""QID1320238780""}","{""ImportId"":""QID1320238782""}","{""ImportId"":""QID1320238783"",""choiceId"":""1""}","{""ImportId"":""QID1320238783"",""choiceId"":""2""}","{""ImportId"":""QID1320238783"",""choiceId"":""3""}","{""ImportId"":""QID1320238783"",""choiceId"":""4""}","{""ImportId"":""QID1320238783"",""choiceId"":""5""}","{""ImportId"":""QID1320238783"",""choiceId"":""6""}","{""ImportId"":""QID1320238783"",""choiceId"":""7""}","{""ImportId"":""QID1320238783"",""choiceId"":""8""}","{""ImportId"":""QID1320238783"",""choiceId"":""9""}","{""ImportId"":""QID1320238783_8_TEXT""}"
2024-10-23 19:37:50,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 10:43:04,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 10:47:34,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 10:47:43,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 10:48:04,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 10:48:24,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 10:49:47,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 11:04:50,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08 10:25:32,1,preview,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08 10:37:05,1,preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22 09:07:50,1,anonymous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
